Last	First	HOF	From	To	Position1	Position	Position2	Ht	Wt	Month	Day	Year	Country	DaysBefore
Ranieri	George	N	1957	1957	LW	F	NA	68	190	January	14	1936	Canada	0
Pederson	Mark	N	1990	1994	LW	F	NA	74	196	January	14	1968	Canada	0
Ryan	Terry	N	1997	1999	LW	F	NA	73	202	January	14	1977	Canada	0
Nemchinov	Sergei	N	1992	2002	LW	F	NA	73	205	January	14	1964	Russia	0
Blatny	Zdenek	N	2003	2006	LW	F	NA	73	190	January	14	1981	Czech Republic	0
Johnston	Greg	N	1984	1992	RW	F	NA	73	205	January	14	1965	Canada	0
May	Alan	N	1988	1995	RW	F	NA	73	200	January	14	1965	Canada	0
Papineau	Justin	N	2002	2004	C	F	NA	71	205	January	15	1980	Canada	0
Johansson	Bjorn	N	1977	1978	D	D	NA	73	195	January	15	1956	Sweden	0
Holt	Randy	N	1975	1984	D	D	NA	71	185	January	15	1953	Canada	0
Huber	Willie	N	1979	1988	D	D	NA	77	228	January	15	1958	Germany	0
Burt	Adam	N	1989	2001	D	D	NA	74	205	January	15	1969	USA	0
Strbak	Martin	N	2004	2004	D	D	NA	75	210	January	15	1975	Czech Republic	0
Lebda	Brett	N	2006	2009	D	D	NA	69	195	January	15	1982	USA	0
Wood	Alex	N	1937	1937	G	G	NA	71	165	January	15	1911	England	0
McVicar	Rob	N	2006	2006	G	G	NA	76	201	January	15	1982	Canada	0
